iter	Passed	Remaining
298	488	1145
299	490	1143
300	491	1141
301	493	1139
302	494	1137
303	495	1135
304	496	1132
305	498	1130
306	501	1132
307	504	1134
308	507	1135
309	509	1134
310	510	1132
311	512	1129
312	513	1127
313	514	1124
314	515	1121
315	517	1119
316	518	1117
317	519	1114
318	521	1112
319	522	1110
320	523	1107
321	524	1105
322	526	1102
323	527	1100
324	528	1098
325	529	1095
326	531	1092
327	532	1090
328	533	1088
329	534	1085
330	535	1083
331	537	1080
332	538	1078
333	539	1076
334	545	1082
335	548	1083
336	551	1085
337	553	1083
338	554	1080
339	555	1078
340	556	1075
341	557	1073
342	559	1071
343	560	1068
344	561	1066
345	563	1064
346	564	1061
347	565	1059
348	566	1057
349	568	1055
350	569	1052
351	570	1050
352	571	1047
353	572	1045
354	573	1042
355	575	1040
356	576	1037
357	577	1035
358	578	1032
359	579	1030
360	580	1027
361	581	1025
362	582	1023
363	584	1020
364	590	1026
365	593	1028
366	597	1030
367	598	1028
368	599	1025
369	600	1023
370	602	1021
371	603	1019
372	605	1017
373	606	1014
374	607	1012
375	609	1010
376	610	1008
377	611	1006
378	612	1003
379	613	1001
380	614	999
381	616	997
382	617	995
383	618	992
384	620	990
385	621	988
386	622	986
387	624	984
388	625	981
389	626	979
390	627	977
391	628	975
392	630	973
393	634	975
394	637	976
395	639	975
396	641	974
397	642	972
398	644	970
399	645	968
400	646	965
401	647	963
402	649	961
403	650	959
404	651	957
405	653	955
406	654	953
407	655	951
408	657	949
409	658	947
410	661	947
411	665	949
412	668	950
413	669	948
414	670	945
415	671	943
416	672	940
417	673	938
418	674	935
419	675	933
420	677	931
421	678	929
422	679	926
423	680	924
424	681	921
425	682	919
426	683	917
427	684	915
428	685	912
429	687	910
430	688	909
431	689	906
432	690	904
433	692	902
434	693	900
435	694	898
436	695	895
437	696	893
438	697	891
439	698	888
440	699	886
441	700	884
442	702	882
443	705	883
444	709	884
445	713	885
446	714	883
447	715	881
448	716	879
449	717	876
450	718	874
451	719	872
452	720	870
453	722	868
454	723	866
455	724	864
456	725	861
457	726	859
458	727	857
459	728	855
460	729	853
461	730	850
462	731	848
463	733	846
464	735	845
465	737	845
466	739	843
467	740	841
